Name,Address,Category,Favorite
Batter & Berries,"2748 N Lincoln Ave, Chicago, IL 60614",Food,X
Sunda,"110 W Illinois St, Chicago, IL 60654",Food,
Pizzeria Portofino,"317 N Clark St, Chicago, IL 60654",Food,
The Art of Pizza,"3033 N Ashland Ave, Chicago, IL 60657",Food,
Lil' Ba-Ba-Reeba!,"441 N Clark St, Chicago, IL 60654",Food,X
Quartino Ristorante,"626 N State St, Chicago, IL 60654",Food,
Zombie Tacos ,"530 N La Salle Dr, Chicago, IL 60654",Food,
Los Comales,"1544 W 18th St, Chicago, IL 60608",Food,
Qing Xiang Yuan Dumplings,"2002 S Wentworth Ave, Chicago, IL 60616",Food,
Kasama,"1001 N Winchester Ave, Chicago, IL 60622",Food,
Oberweis,"3055 N Sheffield Ave, Chicago, IL 60657",Food,
Ann Sathers,"909 W Belmont Ave, Chicago, IL 60657",Food,
Mario's Italian Lemonade,"1068 W Taylor St, Chicago, IL 60607",Food,X
Pearl Club,"495 N Milwaukee Ave, Chicago, IL 60654",Nightlife,
Three dots and a Dash,"435 N Clark St, Chicago, IL 60654",Nightlife,
Punch Bowl Social,"310 N Green St, Chicago, IL 60607",Nightlife,
Emporium,"839 W Fulton Market, Chicago, IL 60607",Nightlife,
The Bassment,"353 W Hubbard St, Chicago, IL 60654",Nightlife,
Moe's,"155 W Kinzie St, Chicago, IL 60654",Nightlife,
The Mine,"1431 W Lake St, Chicago, IL 60607",Nightlife,
The Art Institute of Chicago,"111 S Michigan Ave, Chicago, IL 60603",Activities,X
The Village Discount ,"4898 N Clark St, Chicago, IL 60640",Activities,X
River Walk,"24 E Wacker Dr, Chicago, IL 60601",Activities,X
