Name,Address,Category,Favorite
Em Vietnamese Bistro,"57 Front St, Brooklyn, NY 11201",Food,
OKDONGSIK,"13 E 30th St, New York, NY 10016",Food,
Seoul Salon,"28 W 33rd St, New York, NY 10001",Food,X
ARIARI,"119 1st Ave, New York, NY 10003",Food,
Wangs,"671 Union St, Brooklyn, NY 11215",Food,
Casa Mono,"52 Irving Pl, New York, NY 10003",Food,X
L'indistrie,"254 S 2nd St, Brooklyn, NY 11211",Food,
Pizza loves sauce,"147 E Houston St, New York, NY 10002",Food,
Lilia,"567 Union Ave, Brooklyn, NY 11211",Food,
Forma Pasta Factory,"14 Bedford Ave, Brooklyn, NY 11222",Food,
Rubirosa,"235 Mulberry St, New York, NY 10012",Food,
LOS TACOS No.1,"340 Lafayette St, New York, NY 10012",Food,
Zabb PuTawn,"1584 1st Ave, New York, NY 10028",Food,X
Blue Willow,"40 W 56th St, New York, NY 10019",Food,
omakase by korami,"400 W 50th St, New York, NY 10019",Food,
The Blue Dog,"308 W 50th St, New York, NY 10019",Food,
Organic Love,"313A Utica Ave, Brooklyn, NY 11213",Food,
Fancy Juice,"160 1st Ave, New York, NY 10003",Food,X
Stocked,"663 Washington Ave, Brooklyn, NY 11238",Food,X
Hard to Explain,"224 E 10th St, New York, NY 10003",Nightlife,
Arlo Williamsburg,"96 Wythe Ave, Brooklyn, NY 11249",Nightlife,
Analogue,"19 W 8th St, New York, NY 10011",Nightlife,X
Two Doors Down,"159 E Houston St, New York, NY 10002",Nightlife,
Lovers of Today,"132 E 7th St, New York, NY 10009",Nightlife,
Swift Hibernian Lounge,"34 E 4th St, New York, NY 10003",Nightlife,
Public Records,"233 Butler St, Brooklyn, NY 11217",Nightlife,
Brooklyn Storehouse,"63 Flushing Ave, Brooklyn, NY 11205",Nightlife,X
Public Hotel,"215 Chrystie St, New York, NY 10002",Nightlife,
The Met,"1000 5th Ave, New York, NY 10028",Activities,
Crossroads Trading,"122 2nd Ave, New York, NY 10003",Activities,X
Central Park,"1802 E 65th St, New York, NY 10065",Activities,
The Painted Pot ,"188 5th Ave, Brooklyn, NY 11217",Activities,X
